0
['AKT.pS473']
['AKT.pT308']
['AMPK.PT172']
['cJUN.pS73']
['EGFR.PY1173']
['GSK3.pS21']
['JNK.PT183']
['LKB1.pS428']
['MAPK.pT202']
['MEK1.2.PS217']
['mTOR.pS2448']
['p38.PT180']
['p70S6K.pT389']
['p90RSK.pT359']
['PDK1.pS241']
['PI3Kp110']
['STAT3.pT727']
['STAT3.pY705']
['STAT5.pY964']
['TSC2.PT1462']
