,AKT.pS473,AKT.pT308,AMPK.PT172,cJUN.pS73,EGFR.PY1173,GSK3.pS21,JNK.PT183,LKB1.pS428,MAPK.pT202,MEK1-2.PS217,mTOR.pS2448,p38.PT180,p70S6K.pT389,p90RSK.pT359,PDK1.pS241,PI3K,STAT3.pT727,STAT3.pY705,STAT5.pY964,TSC2.PT1462
MDA-MB-468 5ng EGF (180 min) (3),1.0443001,0.2285717,0.0093340,0.0483963,0.0130684,0.9247204,0.0080828,0.0291252,0.3136628,0.1714583,0.2304817,0.0129476,0.0639338,0.0566162,0.1009352,0.1344047,0.2331354,0.0189222,0.0423048,0.1855889
MDA-MB-468 10ng EGF (180 min) (1),1.5211630,0.2995939,0.0067210,0.0614100,0.0306184,1.0795744,0.0045679,0.0340463,0.3268092,0.2035952,0.2833547,0.0120582,0.0951627,0.0503945,0.0986028,0.1143088,0.2399522,0.0535022,0.0633709,0.1700832
MDA-MB-468 10ng EGF (180 min) (2),1.3600913,0.2953560,0.0093634,0.0577333,0.0415591,1.0495208,0.0091747,0.0324293,0.3768286,0.2268647,0.2329390,0.0160274,0.0732074,0.0664538,0.1010295,0.1111273,0.2480551,0.0497342,0.0797862,0.1704760
MDA-MB-468 10ng EGF (180 min) (3),1.4604624,0.2985358,0.0094380,0.0565054,0.0317022,1.1118040,0.0064371,0.0346235,0.3510432,0.2382225,0.2552914,0.0151144,0.0728427,0.0600871,0.0941852,0.1131529,0.2471940,0.0563935,0.0703252,0.1665271
MDA-MB-468 20ng EGF (180 min) (1),1.4841420,0.2733165,0.0092396,0.0670874,0.1093978,1.1278405,0.0093769,0.0336536,0.3323391,0.2612816,0.2657452,0.0169699,0.0683674,0.0595174,0.0998402,0.1014511,0.2383232,0.2100633,0.1292962,0.1553978
MDA-MB-468 20ng EGF (180 min) (2),1.5232447,0.3012713,0.0046911,0.0600654,0.0900468,1.2349162,0.0069452,0.0365234,0.2973719,0.2468838,0.2882488,0.0160905,0.0670516,0.0638778,0.0964822,0.0991898,0.2426212,0.1871080,0.1166319,0.1609913
MDA-MB-468 20ng EGF (180 min) (3),1.5271494,0.2952736,0.0090870,0.0613125,0.1162221,1.1668982,0.0099242,0.0397181,0.2975953,0.2658750,0.2630017,0.0199840,0.0735893,0.0567623,0.0963410,0.1056908,0.2347813,0.1689628,0.1127502,0.1523350
MDA-MB-468 0ng EGF (240 min) (1),0.4892737,0.1027030,0.0124794,0.0353716,0.0007261,0.9992526,0.0057241,0.0144096,0.3142715,0.2100240,0.2567447,0.0236668,0.0485988,0.0459200,0.1153367,0.1338809,0.2372092,0.0232952,0.0368865,0.1758758
MDA-MB-468 0ng EGF (240 min) (2),0.4833369,0.0975594,0.0120182,0.0299135,0.0037992,0.9317530,0.0071891,0.0124441,0.2835359,0.1852439,0.2504769,0.0200307,0.0334042,0.0393422,0.0973331,0.1184900,0.2141364,0.0181550,0.0331550,0.1490030
MDA-MB-468 0ng EGF (240 min) (3),0.4802892,0.1073261,0.0094884,0.0369548,0.0006473,1.0498126,0.0037075,0.0085537,0.2902987,0.2102280,0.2529709,0.0179515,0.0445404,0.0435066,0.1069214,0.1223714,0.2443840,0.0222210,0.0383352,0.1849921
MDA-MB-468 5ng EGF (240 min) (1),0.7176923,0.2010015,0.0105110,0.0516462,0.0107330,1.0595820,0.0056470,0.0340666,0.2897882,0.2541546,0.2500574,0.0227926,0.0563373,0.0574432,0.1006255,0.1164630,0.2623200,0.0180770,0.0435687,0.1659440
MDA-MB-468 5ng EGF (240 min) (2),0.9111362,0.1976403,0.0099647,0.0460123,0.0083985,1.1607493,0.0077637,0.0354622,0.2698919,0.2757037,0.2497437,0.0220386,0.0686885,0.0542811,0.1015584,0.1190173,0.2584594,0.0210744,0.0467029,0.1555204
MDA-MB-468 5ng EGF (240 min) (3),1.0286663,0.1892645,0.0108047,0.0474086,0.0100474,1.1506170,0.0099044,0.0267491,0.2614301,0.2618616,0.2522111,0.0217184,0.0581827,0.0548667,0.1032025,0.1131430,0.2633865,0.0197736,0.0331036,0.1504681
MDA-MB-468 10ng EGF (240 min) (1),1.0872482,0.2101436,0.0078625,0.0662364,0.0349448,1.1454202,0.0079648,0.0347239,0.2580787,0.3059798,0.2378011,0.0260224,0.0710708,0.0541559,0.1082355,0.1301544,0.2681503,0.0598880,0.0676947,0.1445477
MDA-MB-468 10ng EGF (240 min) (2),0.9915873,0.2276480,0.0127660,0.0634512,0.0404298,1.1126665,0.0109853,0.0347192,0.2660435,0.3113251,0.2581982,0.0217355,0.0589309,0.0543803,0.1060191,0.1132364,0.2677477,0.0542113,0.0524386,0.1629382
MDA-MB-468 10ng EGF (240 min) (3),0.9693443,0.2001127,0.0066180,0.0596117,0.0301170,1.1891019,0.0051263,0.0422933,0.2452493,0.2644932,0.2669912,0.0232173,0.0610122,0.0491941,0.1097050,0.1054088,0.2433531,0.0530976,0.0664286,0.1569582
MDA-MB-468 20ng EGF (240 min) (1),1.2826253,0.2295877,0.0081396,0.0845690,0.1312854,1.0522646,0.0098728,0.0438255,0.2214084,0.2827924,0.2693080,0.0266462,0.0726156,0.0564755,0.0942370,0.1091456,0.2387822,0.2823784,0.1501111,0.1565859
MDA-MB-468 20ng EGF (240 min) (2),1.1292266,0.2466470,0.0072196,0.0765592,0.1219435,0.9823402,0.0074865,0.0513298,0.2433082,0.2987139,0.2678700,0.0263924,0.0738140,0.0544818,0.1049014,0.1060887,0.2194030,0.2862788,0.1552983,0.1386593
MDA-MB-468 20ng EGF (240 min) (3),0.9616714,0.2297056,0.0093126,0.0951391,0.1165708,0.8830490,0.0148318,0.0479588,0.2709744,0.3039964,0.2642682,0.0297723,0.0434687,0.0559461,0.1091722,0.1183971,0.2191493,0.3206980,0.1469264,0.1468985
